coin_id,coin_name,coin_tag
1,bitcoin,BTC
1027,ethereum,ETH
825,tether,USDT
52,xrp,XRP
2,litecoin,LTC
2010,cardano,ADA
6636,polkadot-new,DOT
1831,bitcoin-cash,BCH
512,stellar,XLM
1975,chainlink,LINK
1839,binance-coin,BNB
3717,wrapped-bitcoin,WBTC
3408,usd-coin,USDC
3602,bitcoin-sv,BSV
1765,eos,EOS
328,monero,XMR
1958,tron,TRX
2416,theta,THETA
873,nem,XEM
2011,tezos,XTZ
3635,crypto-com-coin,CRO
3077,vechain,VET
7083,uniswap,UNI
1376,neo,NEO
4943,multi-collateral-dai,DAI
74,dogecoin,DOGE
7278,aave,AAVE
3794,cosmos,ATOM
3957,unus-sed-leo,LEO
2700,celsius,CEL
2586,synthetix-network-token,SNX
1720,iota,MIOTA
5864,yearn-finance,YFI
4687,binance-usd,BUSD
1518,maker,MKR
131,dash,DASH
2135,revain,REV
2280,filecoin,FIL
2502,huobi-token,HT
4195,ftx-token,FTT
5426,solana,SOL
1321,ethereum-classic,ETC
1168,decred,DCR
2469,zilliqa,ZIL
5692,compound,COMP
1437,zcash,ZEC
6892,elrond-egld,EGLD
1274,waves,WAVES
6758,sushiswap,SUSHI
5034,kusama,KSM
4030,algorand,ALGO
5617,uma,UMA
1567,nano,NANO
5805,avalanche,AVAX
5777,renbtc,RENBTC
1808,omg,OMG
2566,ontology,ONT
1934,loopring,LRC
6719,the-graph,GRT
109,digibyte,DGB
3897,okb,OKB
1697,basic-attention-token,BAT
3964,reserve-rights,RSR
4172,terra-luna,LUNA
2099,icon,ICX
3718,bittorrent,BTT
4847,blockstack,STX
1896,0x,ZRX
2539,ren,REN
6535,near-protocol,NEAR
4642,hedera-hashgraph,HBAR
2694,nexo,NEXO
4779,husd,HUSD
1684,qtum,QTUM
2499,swissborg,CHSB
2563,trueusd,TUSD
5567,celo,CELO
693,verge,XVG
3330,paxos-standard,PAX
4157,thorchain,RUNE
1042,siacoin,SC
1982,kyber-network,KNC
4056,ampleforth,AMPL
4679,band-protocol,BAND
1759,status,SNT
1104,augur,REP
5268,energy-web-token,EWT
2083,bitcoin-gold,BTG
4023,bitcoin-bep2,BTCB
3155,quant,QNT
7129,terrausd,UST
3911,ocean-protocol,OCEAN
5830,nxm,NXM
3437,abbc-coin,ABBC
3662,hedgetrade,HEDG
1214,lisk,LSK
1966,decentraland,MANA
2130,enjin-coin,ENJ
1698,horizen,ZEN
2682,holo,HOT
1659,gnosis-gno,GNO
2405,iostoken,IOST
291,maidsafecoin,MAID
3890,matic-network,MATIC
1727,bancor,BNT
3822,theta-fuel,TFUEL
2577,ravencoin,RVN
3701,rsk-infrastructure-framework,RIF
1817,voyager-token,VGX
1680,aragon,ANT
3351,zb-token,ZB
5728,balancer,BAL
2642,cybervein,CVT
1732,numeraire,NMR
6538,curve-dao-token,CRV
213,monacoin,MONA
1637,rlc,RLC
4066,chiliz,CHZ
2222,bitcoin-diamond,BCD
1816,civic,CVC
4948,nervos-network,CKB
1993,kin,KIN
5665,helium,HNT
2603,pundi-x,NPXS
5026,orchid,OXT
2570,tomochain,TOMO
1866,bytom,BTM
2758,unibright,UBT
4705,pax-gold,PAXG
8104,1inch,1INCH
5632,arweave,AR
2087,kucoin-shares,KCS
463,bitshares,BTS
1772,storj,STORJ
4279,swipe,SXP
2320,utrust,UTK
4846,kava,KAVA
1320,ardor,ARDR
3581,kleros,PNK
6187,serum,SRM
1455,golem-network-tokens,GLM
1757,funfair,FUN
1856,district0x,DNT
1230,steem,STEEM
3139,dxchain-token,DX
7232,alpha-finance-lab,ALPHA
5957,yearn-finance-ii,YFII
1521,komodo,KMD
7535,keep3rv1,KP3R
2137,electroneum,ETN
4191,syntropy,NOIA
2299,aelf,ELF
7226,injective-protocol,INJ
7653,oasis-network,ROSE
3513,fantom,FTM
4747,velas,VLX
3441,divi,DIVI
2606,wanchain,WAN
2424,singularitynet,AGI
3714,lto-network,LTO
3783,ankr,ANKR
3945,harmony,ONE
5488,just,JST
2662,haven-protocol,XHV
2300,wax,WAXP
2467,origintrail,TRAC
3773,fetch,FET
2496,polymath-network,POLY
5829,trustswap,SWAP
5370,hive-blockchain,HIVE
3218,energi,NRG
2273,uquid-coin,UQC
5601,xdai,STAKE
2638,cortex,CTXC
1586,ark,ARK
1343,stratis,STRAX
2777,iotex,IOTX
1552,melon,MLN
3874,irisnet,IRIS
541,syscoin,SYS
1789,populous,PPT
2132,power-ledger,POWR
2776,travala,AVA
118,redd,RDD
1298,library-credit,LBC
6138,dia,DIA
4197,sharetoken,SHR
2588,loom-network,LOOM
2916,nimiq,NIM
3356,the-midas-touch-gold,TMTG
1706,aidos-kuneen,ADK
1768,adx-net,ADX
4944,tellor,TRB
2062,aion,AION
1414,firo,XZC
2840,quarkchain,QKC
1776,crypto-com,MCO
5221,handshake,HNS
2930,everipedia,IQ
3814,celer-network,CELR
